no,picture file,name (CN),name (EN),Origin,起始點,Insertion,結束點,Action,動作,Nerve,神經支配
84,semimembranosus.jpg,半膜肌,Semimembranosus,Ischial tuberosity,坐骨粗隆,Posterior medial tibial condyle,脛骨內側髁後方,"Flexion of knee
Internal rotation of flexed knee
Extension of hip","膝關節屈曲
屈膝時內旋
髖關節伸展",Tibial division of sciatic nerve,坐骨神經脛神經分支
85,sartorius.jpg,縫匠肌,Sartorius,Anterior superior iliac spine,髂前上棘,Pes anserinus,鵝足,"Flexion of hip
Abduction of hip
External rotation of hip
Flexion of knee
Internal rotation of knee","髖關節屈曲
髖關節外展
髖關節外旋
膝關節屈曲
膝關節內旋",Femoral nerve,股神經
86,rectus_femoris.jpg,股直肌,Rectus Femoris,"Anterior inferior iliac spine
Ilium above acetabulum","髂前下棘
髖臼上方髂骨","Patella
Tibial tuberosity via patellar ligament","髕骨
經髕韌帶至脛骨粗隆","Extension of knee
Flexion of hip","膝關節伸展
髖關節屈曲",Femoral nerve,股神經
87,vastus_lateralis.jpg,股外側肌,Vastus Lateralis,"Linea aspera
Greater trochanter
Intertrochanteric line of femur","股骨粗線
股骨大轉子
股骨轉子間線","Patella
Tibial tuberosity via patellar ligament","髕骨
經髕骨韌帶至脛骨粗隆",Extension of knee,"膝關節伸展",Femoral nerve,股神經
88,vastus_medialis.jpg,股內側肌,Vastus Medialis,"Linea aspera
Intertrochanteric line of femur","股骨粗線
股骨轉子間線","Patella
Tibial tuberosity via patellar ligament","髕骨
經髕韌帶至脛骨粗隆",Extension of knee,膝關節伸展,Femoral nerve,股神經
89,vastus_intermedius.jpg,股中間肌,Vastus Intermedius,Anterior and lateral femoral shaft,股骨幹前側及外側面,"Patella
Tibial tuberosity via patellar ligament","髕骨
經髕韌帶至脛骨粗隆",Extension of knee,膝關節伸展,Femoral Nerve,股神經
90,adductor_magnus.jpg,內收大肌,Adductor Magnus,"Inferior ramus of pubis
Ramus of ischium, ischial tuberosity","恥骨下支
坐骨支、坐骨結節","Linea aspera of femur
Adductor tubercle of femur","股骨粗線
股骨收肌結節","Adduction of hip
Flexion/Internal rotation of hip
Extension/External rotation of hip","髖關節內收
髖關節屈曲/內旋
髖關節伸展/外旋","Obturator nerve, Tibial division of sciatic nerve",閉孔神經、坐骨神經脛神經分支
91,adductor_longus.jpg,內收長肌,Adductor Longus,Anterior surface of body of pubis,恥骨體前面,Linea aspera,股骨粗線,"Adduction of hip
Flexion of hip
Some external rotation","髖關節內收
髖關節屈曲
部分外旋",Obturator nerve,閉孔神經
92,adductor_brevis.jpg,內收短肌,Adductor Brevis,"Body of pubis
Inferior ramus of pubis","恥骨體
恥骨下支",Linea aspera,股骨粗線,"Adduction of hip
Flexion of hip
Some external rotation","髖關節內收
髖關節屈曲
部分外旋",Obturator nerve,閉孔神經
93,pectineus.jpg,恥骨肌,Pectineus,Superior ramus of pubis,恥骨上支,Between lesser trochanter and linea aspera,小轉子與粗線間,"Adduction of hip
Flexion of hip","髖關節內收
髖關節屈曲",Femoral nerve,股神經
94,gracilis.jpg,股薄肌,Gracilis,"Body of pubis
Inferior ramus of pubis","恥骨體
恥骨下支",Pes anserinus,鵝足,"Adduction of hip
Flexion of hip
Internal rotation of flexed knee","髖關節內收
髖關節屈曲
膝關節屈曲時內旋",Obturator nerve,閉孔神經
95,tibialis_anterior.jpg,脛骨前肌,Tibialis Anterior,"Lateral surface of tibia
Interosseous membrane","脛骨外側面
骨間膜","Base of first metatarsal
Medial cuneiform","第一蹠骨底
內側楔狀骨","Dorsiflexion of ankle
Inversion of foot","踝關節背屈
足內翻",Deep peroneal nerve,深腓神經
96,extensor_hallucis_longus.jpg,伸拇長肌,Extensor Hallucis Longus,"Anterior surface of Fibula
Interosseous membrane","腓骨前面
骨間膜",Base of distal phalanx of big toe,拇趾遠端趾骨底,Extension of big toe,拇趾伸展,Deep peroneal nerve,深腓神經
97,extensor_digitorum_longus.jpg,伸趾長肌,Extensor Digitorum Longus,"Proximal anterior shaft of fibula
Interosseous membrane
Lateral condyle of tibia","腓骨近端前緣
骨間膜
脛骨外側髁",Extensor expansion of toes 2-5,第2-5趾伸肌擴張,"Extension of toes 2-5
Dorsiflexion of ankle","第2-5趾伸展
踝關節背屈",Deep peroneal nerve,深腓神經
98,extensor_digitorum_brevis.jpg,伸趾短肌,Extensor Digitorum Brevis,Anterior and lateral calcaneus,跟骨前側及外側,Extensor expansion of toes 2-4,第2-4趾伸肌腱膜,Extension of toes 2-4,第2-4趾伸展,Deep peroneal nerve,腓深神經
99,peroneus_tertius.jpg,第三腓骨肌,Peroneus Tertius,Distal anterior fibula,腓骨遠端前側,Base of 5th metatarsal,第五蹠骨基部,"Eversion of foot
Dorsiflexion of ankle","足部外翻
踝關節背屈",Deep peroneal nerve,深腓神經
100,peroneus_longus.jpg,腓骨長肌,Peroneus Longus,Head and proximal lateral shaft of fibula,腓骨頭及腓骨近端外側骨幹,"Base of 1st metatarsal
Medial cuneiform","第一蹠骨基部
內側楔狀骨","Eversion of foot
Plantarflexion of ankle","足部外翻
踝關節蹠屈",Superficial peroneal nerve,淺腓神經
101,peroneus_brevis.jpg,腓骨短肌,Peroneus Brevis,Distal lateral shaft of fibula,腓骨遠端外側骨幹,Base of 5th metatarsal,第五蹠骨基部,"Eversion of foot
Plantarflexion of ankle","足部外翻
踝關節蹠屈",Superficial peroneal nerve,淺腓神經
102,gastrocnemius.jpg,腓腸肌,Gastrocnemius,"Medial head - medial epicondyle of femur
Lateral head - lateral epicondyle of femur","內側頭 - 股骨內上髁
外側頭 - 股骨外上髁",Calcaneus via calcaneal tendon,經跟腱止於跟骨,"Plantarflexion of ankle
Flexion of knee","踝關節蹠屈
膝關節屈曲",Tibial nerve,脛神經
103,soleus.jpg,比目魚肌,Soleus,"Soleal line of tibia
Proximal fibula","脛骨比目魚肌線
腓骨近端",Calcaneus via calcaneal tendon,經由跟腱附著於跟骨,Plantarflexion of ankle,踝關節蹠屈,Tibial nerve,脛神經
104,plantaris.jpg,蹠肌,Plantaris,Lateral supracondylar ridge of femur,股骨外上髁嵴,Posterior calcaneus,跟骨後面,"Plantarflexion of ankle
Flexion of knee","踝關節蹠屈
膝關節屈曲",Tibial nerve,脛神經
105,popliteus.jpg,膕肌,Popliteus,Lateral condyle of femur,股骨外側髁,Proximal posterior tibia,脛骨近端後側,"Unlocks extended knee by internal rotation of tibia
Unlocks extended knee by external rotation of femur","藉脛骨內旋解鎖伸直膝關節
藉股骨外旋解鎖伸直膝關節",Tibial nerve,脛神經
106,tibialis_posterior.jpg,脛骨後肌,Tibialis Posterior,"Posterior tibia
Proximal posterior fibula
Interosseous membrane","脛骨後側
腓骨近端後側
骨間膜","Navicular tuberosity
All cuneiforms
Cuboid
Bases of metatarsals 2-4","舟骨粗隆
所有楔骨
骰骨
第二至第四蹠骨底","Inversion of foot
Plantarflexion of ankle","足內翻
踝關節蹠屈",Tibial nerve,脛神經
107,flexor_digitorum_longus.jpg,屈趾長肌,Flexor Digitorum Longus,Posterior tibia,脛骨後面,Distal phalanges of toes 2-5,第2-5趾遠端趾骨,"Flexion of toes 2-5 at DIP joints
Plantarflexion of ankle","第2-5趾遠端指間關節屈曲
足踝蹠屈",Tibial nerve,脛神經
108,flexor_digitorum_brevis.jpg,屈趾短肌,Flexor Digitorum Brevis,Calcaneus,跟骨,Bases of middle phalanges of toes 2-5,第2-5趾中節趾骨底,Flexion of toes 2-5 at PIP joints,第2-5趾近端趾間關節屈曲,Medial plantar nerve,內側足底神經
109,flexor_hallucis_longus.jpg,屈拇長肌,Flexor Hallucis Longus,"Distal posterior fibula
Interosseous membrane","腓骨遠端後側
骨間膜",Distal phalanges of big toe,拇趾遠端趾骨,Flexion of big toe,拇趾屈曲,Tibial nerve,脛神經
110,flexor_hallucis_brevis.jpg,屈拇短肌,Flexor Hallucis Brevis,"Cuboid bone
Lateral cuneiform bone","骰骨
外側楔狀骨",Both sides of base of proximal phalanx of big toe,拇趾近端趾骨基底兩側,Flexion of big toe at MTP joint,拇趾蹠趾關節屈曲,Medial plantar nerve,內側足底神經
111,abductor_hallucis.jpg,外展拇肌,Abductor Hallucis,Calcaneus,跟骨,Base of proximal phalanx of big toe,拇趾近端趾骨基部,"Flexion of big toe at MTP joint
Abduction of big toe at MTP joint","拇趾蹠趾關節屈曲
拇趾蹠趾關節外展",Medial plantar nerve,內側足底神經
112,abductor_digiti_minimi (foot).jpg,外展小趾肌,Abductor Digiti Minimi,Calcaneus,跟骨,Base of proximal phalanx of toe 5,第五趾近端趾骨底,"Abduction of toe 5 at MTP joint
Flexion of toe 5 at MTP joint","第五趾蹠趾關節外展
第五趾蹠趾關節屈曲",Lateral plantar nerve,外側足底神經
113,quadratus_plantae.jpg,蹠方肌,Quadratus Plantae,Calcaneus,跟骨,Lateral surface of flexor digitorum longus tendon,趾長屈肌腱外側面,Flexion of toes 2-5 at DIP joints,第2-5趾遠端指間關節屈曲,Lateral plantar nerve,足底外側神經
114,lumbricals (foot).jpg,蚓狀肌(腳),Lumbricals,Tendons of flexor digitorum longus,屈趾長肌肌腱,Extensor expansion 2-5,第2-5趾伸肌腱膜,"Flexion of toes 2-5 at MTP joints
Extension of toes 2-5 at IP joints","第2-5趾蹠趾關節屈曲
第2-5趾趾間關節伸展","Toe 2: medial plantar nerve, Toes 3-5: lateral plantar nerves",第2趾：內側足底神經，第3-5趾：外側足底神經
115,adductor_hallucis.jpg,內收拇肌,Adductor Hallucis,"Bases of 2nd-4th metatarsals
Deep transverse metatarsal ligament
Plantar plates of 3-5 MTP joints","第2-4蹠骨基部
深橫蹠骨韌帶
第3-5蹠趾關節足底板",Base of proximal phalanx of big toe,拇趾近端趾骨基部,"Adduction of big toe at MTP joint
Flexion of big toe at MTP joint","拇趾蹠趾關節內收
拇趾蹠趾關節屈曲",Lateral plantar nerve,外側足底神經
116,flexor_digiti_minimi_brevis,屈小趾肌,Flexor Digiti Minimi,Base of 5th metatarsal,第五蹠骨底,Base of proximal phalanx of toe 5,第五趾近端趾骨底,Flexion of toe 5 at MTP joint,第五趾蹠趾關節屈曲,Lateral plantar nerve,外側足底神經
117,dorsal_interossei (foot).jpg,背側骨間肌(腳),Dorsal Interossei,Posterior surfaces from adjacent metatarsals,相鄰蹠骨的後側面,"Extensor expansions of toe 2
Lateral sides of toes 2-4","第二趾伸肌腱膜
第2-4趾外側面","Abduction of toes 2-4 at MTP joints
Flexion of toes 2-4 at MTP joints
Extension of toes 2-4 at IP joints","第2-4趾在蹠趾關節外展
第2-4趾在蹠趾關節屈曲
第2-4趾在趾間關節伸展",Lateral plantar nerve,外側足底神經
118,plantar_interossei.jpg,蹠側骨間肌,Plantar Interossei,Medial sides of metatarsals 3-5,第3-5蹠骨內側,Extensor expansions of toes 3-5,第3-5趾伸肌腱膜,"Adduction of toes 3-5 at MTP joints
Flexion of toes 3-5 at MTP joints
Extension of toes 3-5 at IP joints","第3-5趾於蹠趾關節內收
第3-5趾於蹠趾關節屈曲
第3-5趾於趾間關節伸展",Lateral plantar nerve,外側蹠神經
119,occipitofrontalis.jpg,枕額肌,Occipitofrontalis,"Frontal belly: epicranial aponeurosis
Occipital belly: superior nuchal line of occipital bone","額腹：帽狀腱膜
枕腹：枕骨上項線","Frontal: skin of eyebrow
Occipital: Epicranial aponeurosis","額腹：眉毛皮膚
枕腹：帽狀腱膜","Frontal: raises eyebrows
Occipital: pulls scalp backwards","額腹：提眉
枕腹：向後牽拉頭皮","Frontal: Temporal branch of cranial nerve VII/ facial, Occipital: Posterior auricular nerve",額腹：顏面神經顳支，枕腹：耳後神經
120,temporalis.jpg,顳肌,Temporalis,Temporal fossa,顳窩,Coronoid process of mandible,下顎骨冠狀突,"Elevation of mandible
Retraction of mandible","下顎上提
下顎後縮",Trigeminal nerve (Cranial nerve V),三叉神經（第五對腦神經）
121,orbicularis_oculi.jpg,眼輪匝肌,Orbicularis Oculi,"Nasal part of frontal bone
Maxilla
Lacrimal","額骨鼻部
上頜骨
淚骨",Skin of orbital region,眼眶周圍皮膚,Opens and closes eye,眼瞼開合,Temporal branch and zygomatic branch of Cranial nerve VII (Facial nerve),顏面神經顳支及顴支
122,orbicularis_oris.jpg,口輪匝肌,Orbicularis Oris,"Modiolus of angulus oris
Vermillion line","口角結節
唇紅緣","Skin of lips
Fascia of lips","唇部皮膚
唇部筋膜","Compression of lips
Protrusion of lips","唇部緊閉
唇部前突",Buccal and marginal mandibular branches of facial nerve (CN VII),顏面神經頰支及下頜緣支（第七對腦神經）
123,zygomaticus_major.jpg,顴大肌,Zygomaticus Major,Anterior lateral surface of zygomatic bone,顴骨前外側面,Angle of mouth,口角,Elevates angle of mouth,口角上提,Zygomatic and buccal branches of Cranial nerve VII (facial nerve),第七對腦神經（顏面神經）之顴支及頰支
124,zygomaticus_minor.jpg,顴小肌,Zygomaticus Minor,Lateral surface of zygomatic bone,顴骨外側面,Angle of mouth,口角,Elevates upper lip,上唇上提,Zygomatic and buccal branches of Cranial nerve VII (facial nerve),第七對腦神經（顏面神經）之顴支及頰支
125,masseter.jpg,咬肌,Masseter,Inferior aspect of zygomatic arch,顴弓下緣,"Lateral coronoid process of mandible
Ramus of mandible","下顎骨冠突外側面
下顎骨升支","Elevates mandible/Chew
Assists in protraction of mandible","下顎骨上提/咀嚼
協助下顎骨前突",Mandibular branch of Trigeminal nerve (cranial nerve V),三叉神經下顎支（第五對腦神經）
126,buccinator.jpg,頰肌,Buccinator,"Alveolar processes of maxilla and mandible
Pterygomandibular raphe","上顎骨與下顎骨齒槽突
翼下顎縫",Angle of mouth,口角,Compresses cheeks,壓迫頰部,Buccal branch of Cranial nerve VII (facial nerve),顏面神經頰支（第七對腦神經）
127,Multifidus.jpg,多裂肌,Multifidus,"Posterior sacrum
PSIS
mammillary processes of lumbar vertebrae
transverse processes of T1-T12
articular processes of C4-C7","薦骨後部
髂後上棘
腰椎的乳突
胸椎的橫突
下四節頸椎的關節突",Spinous processes of all vertebrae except C1,所有脊椎（除寰椎 C1 外）的棘突,"Bilateral: Extends the vertebral column;
Unilateral: Contralateral rotation and Ipsilateral side-bending;
Core: Stabilizes vertebral segments.","雙側收縮：延伸脊椎（後仰）；
單側收縮：使脊椎向對側旋轉、向同側側彎；
核心功能：穩定椎節。",	Posterior rami of spinal nerves (medial branch).,脊神經後支（內側支）
